Criteria,Sub-criteria,Ideal State,How to Inspect,Redshift,PySpark / Cradle,Athena,Glue
1. Data Modeling & Schema Design,Schema Pattern,"Schema matches dominant access pattern. Join count minimized. Denormalization is intentional.","Review query plans for join depth; measure p50/p99 latency; count joins per query in logs","Star schema + DISTKEY on join column + DISTSTYLE ALL for small dimensions. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c_designing-tables-best-practices.html","Star schema; OBT when dimensions too large to broadcast","Star schema with Parquet + partitioning; schema design is cost optimization (bytes scanned)","Schema in Glue Catalog; Iceberg/Delta for schema evolution"
1. Data Modeling & Schema Design,Aggregate & Rollup Design,"Repeated aggregation patterns pre-computed. Downstream queries hit small aggregated tables.","Identify repeated patterns in query logs; measure bytes scanned before/after rollups","Materialized views with AUTO REFRESH. SVV_MV_INFO for status. Ref: https://docs.aws.amazon.com/redshift/latest/dg/materialized-view-overview.html","Write pre-aggregated DataFrames to Parquet/Delta; orchestrate via Cradle pipeline dependencies","CTAS to create aggregated tables. Ref: https://docs.aws.amazon.com/athena/latest/ug/ctas.html","Glue ETL jobs write rollup tables; Glue Workflows for scheduling. Ref: https://docs.aws.amazon.com/glue/latest/dg/workflows_overview.html"
1. Data Modeling & Schema Design,Time-Series & Trend Metrics,"Trend queries run on pre-partitioned data. No self-joins on large fact tables.","Check EXPLAIN for self-joins; verify time-based filters use partition pruning","Window functions (LAG/LEAD) efficient with sort key on date column. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_Window_function_synopsis.html","Window functions via pyspark.sql.Window; partition by date at write time. Ref: https://spark.apache.org/docs/latest/api/python/reference/pyspark.sql/window.html","Window functions fully supported; partition by date reduces bytes scanned","Job bookmarks prevent reprocessing; Window functions same as PySpark. Ref: https://docs.aws.amazon.com/glue/latest/dg/monitor-continuations.html"
1. Data Modeling & Schema Design,Slowly Changing Dimensions (SCD),"Dimension changes captured with correct effective/expiry dates. No overlapping date ranges. Surrogate keys used.","Verify surrogate keys in fact tables; check for overlapping validity ranges; measure dimension size growth","MERGE for Type 2 upserts. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_MERGE.html","Delta MERGE INTO for Type 2. Ref: https://docs.delta.io/latest/delta-update.html","Iceberg MERGE INTO for Type 2. Ref: https://docs.aws.amazon.com/athena/latest/ug/querying-iceberg-updating-iceberg-table-data.html","Native SCD in Glue Studio. Ref: https://docs.aws.amazon.com/glue/latest/dg/aws-glue-programming-etl-scd.html"
1. Data Modeling & Schema Design,High-Cardinality Dimensions (Bridge Tables),"Bridge tables pre-built at write time. Joins produce no unexpected row explosion.","Look for UNNEST/EXPLODE on large fact tables in plans; verify row counts don't multiply","Bridge table with DISTKEY matching fact table join key","Pre-explode into bridge DataFrame at write time; avoid explode() at query time on large datasets","UNNEST for ad-hoc; pre-exploded bridge tables for repeated queries","Pre-process into bridge tables in ETL; avoid runtime explosion"
1. Data Modeling & Schema Design,Access Pattern Alignment,"Most expensive queries run with maximum pruning and minimum movement because schema was designed for them.","Analyze query logs for frequent WHERE/JOIN ON/GROUP BY columns; measure p50/p95/p99 latency","STL_QUERY and SVL_QLOG for historical query pattern analysis. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_SVL_QLOG.html","Spark History Server for job-level query pattern analysis","Athena query history + CloudWatch; workgroups to segment patterns by team","CloudWatch Glue job metrics; analyze ETL scan patterns"
2. Physical Storage & Layout,Storage Format,"All analytical data in columnar format. Open table format used where ACID or incremental reads needed.","Check file format in storage; measure bytes scanned with EXPLAIN; compare query cost before/after format conversion","Internal columnar (proprietary). External via Spectrum: Parquet/ORC/Iceberg. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c-using-spectrum.html","Parquet default: df.write.parquet(...). Delta for ACID. Ref: https://spark.apache.org/docs/latest/sql-data-sources-parquet.html","Parquet/ORC strongly recommended; bytes scanned = cost. Ref: https://docs.aws.amazon.com/athena/latest/ug/columnar-storage.html","Parquet/ORC/Iceberg/Delta configurable. Ref: https://docs.aws.amazon.com/glue/latest/dg/aws-glue-programming-etl-format.html"
2. Physical Storage & Layout,File Size,"Files uniformly ~128 MB. File count per partition matches cluster parallelism.","aws s3 ls --recursive to inspect sizes; check task count per partition in Spark UI; count files per partition","Automatic for internal tables. Compact S3 files to ~128 MB for Spectrum queries.","df.repartition(n) to increase; df.coalesce(n) to reduce without full shuffle. Ref: https://spark.apache.org/docs/latest/api/python/reference/pyspark.sql/api/pyspark.sql.DataFrame.repartition.html","Small files significantly hurt performance; OPTIMIZE compaction for Iceberg. Ref: https://docs.aws.amazon.com/athena/latest/ug/querying-iceberg-data-optimization.html","DynamicFrame.repartition() or groupFiles in S3 sink. Ref: https://docs.aws.amazon.com/glue/latest/dg/grouping-input-files.html"
2. Physical Storage & Layout,Encoding & Compression,"Encoding chosen per-column based on data characteristics. No compression on booleans or small tables.","Check storage size before/after; verify compression ratio per column; measure I/O reduction","ANALYZE COMPRESSION for recommendations. Don't encode leading sort key. Ref: https://docs.aws.amazon.com/redshift/latest/dg/t_Compressing_data_on_disk.html","Parquet handles internally (dictionary/RLE). File-level: Snappy/Gzip/Zstd. Ref: https://spark.apache.org/docs/latest/sql-performance-tuning.html","Parquet with Snappy or Zstd; BytesScanned validates impact. Ref: https://docs.aws.amazon.com/athena/latest/ug/compression-formats.html","format_options={'compression': 'snappy'}; Parquet handles column encoding automatically"
2. Physical Storage & Layout,Partitioning & Distribution Strategy,"Every query uses partition pruning. Joins on distributed keys require no data movement.","EXPLAIN for partition pruning; check partitions scanned vs total; measure shuffle bytes in Spark UI","DISTKEY on join column; SORTKEY on filter column. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c_choosing_dist_style.html","df.write.partitionBy('date','region'); bucketing: df.write.bucketBy(n,'join_key'). Ref: https://spark.apache.org/docs/latest/sql-performance-tuning.html","Partition by date/region; partition projection to avoid Glue Catalog overhead. Ref: https://docs.aws.amazon.com/athena/latest/ug/partitions.html","enableUpdateCatalog=True to auto-register partitions. Ref: https://docs.aws.amazon.com/glue/latest/dg/aws-glue-programming-etl-partitions.html"
2. Physical Storage & Layout,Data Types,"Each column uses minimal type. Implicit casts absent from all execution plans.","Review DDL for oversized types; check EXPLAIN for implicit cast warnings; compare storage size","Don't use VARCHAR(MAX) unnecessarily. INT4 vs INT8 matters. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c_Supported_data_types.html","Define schema explicitly with StructType; avoid inferSchema=True in production. Ref: https://spark.apache.org/docs/latest/sql-ref-datatypes.html","Use DATE not STRING for date columns — string comparisons disable partition pruning. Ref: https://docs.aws.amazon.com/athena/latest/ug/data-types.html","Glue Schema Registry for type enforcement. Ref: https://docs.aws.amazon.com/glue/latest/dg/schema-registry.html"
2. Physical Storage & Layout,Clustering Structures & Indexes,"High-frequency filter columns have zone maps allowing engine to skip majority of data blocks.","Verify sort key used in plan; measure block skipping effectiveness; check zone map hit rate","SORTKEY (compound or interleaved); don't encode leading sort key; no benefit for tables < 1 MB. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c_best-practices-sort-key.html","Delta: OPTIMIZE ZORDER BY (col1, col2). Ref: https://docs.delta.io/latest/optimizations-oss.html","Iceberg: OPTIMIZE REWRITE DATA USING BIN_PACK with sort order. Ref: https://docs.aws.amazon.com/athena/latest/ug/querying-iceberg-data-optimization.html","Iceberg/Delta optimization via Glue ETL jobs; schedule as periodic maintenance"
2. Physical Storage & Layout,Table Statistics,"Statistics current (< 24h after significant changes); cover all columns in filters and joins.","Check last stats update timestamp; compare estimated vs actual row counts in EXPLAIN; >10x discrepancy is red flag","ANALYZE table_name; auto-analyze runs in background. SVV_TABLE_INFO for freshness. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_ANALYZE.html","ANALYZE TABLE t COMPUTE STATISTICS FOR ALL COLUMNS. Ref: https://spark.apache.org/docs/latest/sql-performance-tuning.html#collecting-table-statistics","Statistics in Glue Catalog; Iceberg maintains built-in column-level stats automatically. Ref: https://docs.aws.amazon.com/athena/latest/ug/glue-best-practices.html","Glue Catalog statistics; trigger stats update after each ETL job. Ref: https://docs.aws.amazon.com/glue/latest/dg/data-catalog-table-statistics.html"
2. Physical Storage & Layout,Metadata (Open Table Formats),"Metadata compact; snapshots expired per policy; column statistics populated and used in query planning.","Check snapshot count and size; measure metadata growth over time; verify partition stats are populated","Internal metadata auto-managed. Spectrum reads Iceberg/Delta metadata from S3. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c-using-spectrum.html","Delta: DESCRIBE HISTORY table. Iceberg: SELECT * FROM table.snapshots. Vacuum for cleanup. Ref: https://docs.delta.io/latest/delta-utility.html","Iceberg metadata: SELECT * FROM db.table$snapshots. VACUUM to expire. Ref: https://docs.aws.amazon.com/athena/latest/ug/querying-iceberg-table-metadata.html","Glue Catalog stores metadata; Iceberg metadata in S3. Ref: https://docs.aws.amazon.com/glue/latest/dg/aws-glue-programming-etl-format-iceberg.html"
3. Data Ingestion,Load Pattern (Bulk / Incremental / CDC),"Load pattern matches change frequency. CDC/incremental for large frequently-changing tables. Bulk only for small/rarely-changed.","Measure load duration vs data volume over time; check for duplicates after incremental loads; verify no gaps in watermark sequence","COPY for bulk; MERGE for upsert/CDC. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_COPY.html and https://docs.aws.amazon.com/redshift/latest/dg/r_MERGE.html","Kinesis/Kafka for streaming CDC; batch incremental with watermark filters. Ref: https://spark.apache.org/docs/latest/structured-streaming-programming-guide.html","S3 + Glue Catalog for loading; Iceberg MERGE INTO for CDC. Ref: https://docs.aws.amazon.com/athena/latest/ug/querying-iceberg-updating-iceberg-table-data.html","Job bookmarks for incremental; Glue ETL + AWS DMS for CDC. Ref: https://docs.aws.amazon.com/dms/latest/userguide/Welcome.html"
3. Data Ingestion,Source-Specific Considerations,"Schema changes detected and propagated. Late arrivals have a correction window. Row counts reconciled source vs target.","Monitor job failures and row count reconciliation; track schema change events; measure late arrival rate","JSONPaths for semi-structured; ACCEPTINVCHARS for encoding issues in COPY. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_COPY-parameters.html","mergeSchema=True for schema evolution; watermarks in Structured Streaming for late data. Ref: https://spark.apache.org/docs/latest/sql-data-sources-parquet.html#schema-merging","Schema-on-read tolerates drift; Iceberg for strict schema enforcement with evolution. Ref: https://docs.aws.amazon.com/athena/latest/ug/querying-iceberg-schema-evolution.html","Schema Registry for type enforcement; Crawlers for schema discovery. Ref: https://docs.aws.amazon.com/glue/latest/dg/schema-registry.html"
4. Query & Compute Execution,Data Reduction (Predicate / Partition / Projection Pushdown),"Bytes scanned equals only what the query needs. Functions never applied to filter columns.","EXPLAIN for pushdown evidence; check bytes scanned metric; verify partition filter application in logs","Zone maps on sort key columns enable block-level skipping. EXPLAIN for scan details. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c-the-query-plan.html","Driver log shows: 'Found N partition filters to apply: EqualsAndesFilter(marketplace_id,1)...' BDT Tech Talks — Tuning and Optimizing Jobs on Cradle","Partition pruning in query statistics; bytes scanned in results. Ref: https://docs.aws.amazon.com/athena/latest/ug/partitions.html","push_down_predicate parameter in create_dynamic_frame.from_catalog. Ref: https://docs.aws.amazon.com/glue/latest/dg/aws-glue-programming-etl-partitions.html#aws-glue-programming-etl-partitions-pushdowns"
4. Query & Compute Execution,Join Strategy,"Broadcast Hash Join used where one side is small enough. No Nested Loop Joins in production.","EXPLAIN for join type; monitor shuffle and spill metrics; verify row count after join doesn't multiply","DS_DIST_NONE (good) vs DS_DIST_BOTH (both sides shuffle — most expensive). Ref: https://docs.aws.amazon.com/redshift/latest/dg/c-the-query-plan.html","broadcast(df); spark.sql.autoBroadcastJoinThreshold; hints: /*+ BROADCAST(t) */; AQE auto-selects. Ref: https://spark.apache.org/docs/3.0.0/sql-ref-syntax-qry-select-hints.html","SET join_distribution_type = 'BROADCAST'; /*+ BROADCAST(d) */ hint. Ref: https://docs.aws.amazon.com/athena/latest/ug/performance-tuning.html","Same as PySpark (Spark-based); broadcast() and AQE apply"
4. Query & Compute Execution,Data Movement & Shuffle,"Zero shuffle operations in execution plan. Data co-located at rest for frequent joins.","Spark UI shuffle read/write bytes per stage; Redshift EXPLAIN redistribution type; network I/O metrics","EXPLAIN shows INNER_DIST/OUTER_DIST/BOTH_DIST. Design dist keys to eliminate redistribution. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c-the-query-plan.html","spark.sql.shuffle.partitions; AQE coalesces partitions automatically; cache() to avoid re-shuffle. Ref: https://spark.apache.org/docs/latest/sql-performance-tuning.html#adaptive-query-execution","No explicit shuffle control; optimize through partitioning and avoiding cross-partition joins","Same as PySpark; set spark.sql.shuffle.partitions in Glue job --conf parameters"
4. Query & Compute Execution,Data Skew,"All tasks complete in roughly equal time. Max task duration < 2x median.","Spark UI task duration variance; engine alert logs for skew warnings; max/min/avg partition size; task duration histogram","STL_ALERT_EVENT_LOG for skew alerts. DISTSTYLE EVEN for heavily skewed tables. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c_choosing_dist_style.html","AQE skew join: spark.sql.adaptive.skewJoin.enabled=true; salting; process nulls separately. Ref: https://spark.apache.org/docs/latest/sql-performance-tuning.html#skew-join-optimization","Partition data evenly; avoid joining on low-cardinality or nullable columns","Same as PySpark; configure AQE properties in Glue job --conf parameters"
4. Query & Compute Execution,Resource Allocation (Compute / Memory),"No spills to disk. Sort and aggregation complete in memory. Cluster utilization consistent without queuing.","Spark UI executor memory metrics and spill indicators; engine alert logs for memory warnings; cloud dashboards for cluster utilization","WLM queues control memory per query class. STL_ALERT_EVENT_LOG for spill events. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c_workload_mngmt_classification.html","spark.executor.memory; spark.driver.memory; spark.memory.fraction; Spark UI for spill metrics. Ref: https://spark.apache.org/docs/latest/tuning.html#memory-management-overview","Serverless — memory managed automatically. Split large queries or use CTAS for intermediates. Ref: https://docs.aws.amazon.com/athena/latest/ug/performance-tuning.html","Worker types: G.1X(16GB) G.2X(32GB) G.4X(64GB) G.8X(128GB). Ref: https://docs.aws.amazon.com/glue/latest/dg/add-job.html"
4. Query & Compute Execution,Approximate Computation,"Approximate functions used where error tolerance permits. Exact COUNT DISTINCT reserved for billing/compliance only.","Compare approximate vs exact to confirm error within bounds; measure query speedup; document error tolerance in data contract","APPROXIMATE COUNT(DISTINCT col) uses HLL internally. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_APPROXIMATE_COUNT_DISTINCT.html","approx_count_distinct(col, rsd). Use max() + sum() for pre-aggregated HLL sketches. Ref: https://spark.apache.org/docs/latest/api/python/reference/pyspark.sql/api/pyspark.sql.functions.approx_count_distinct.html and https://engineering.fb.com/2018/12/13/data-infrastructure/hyperloglog/","approx_distinct(col) — native Presto HLL. Ref: https://prestodb.io/docs/current/functions/aggregate.html#approx_distinct","Same as PySpark; approx_count_distinct in Spark SQL"
4. Query & Compute Execution,SQL Construct Choices,"SQL constructs chosen with knowledge of how the target engine parses them, not just semantic equivalence.","Compare EXPLAIN plans for equivalent rewrites; measure execution time for DISTINCT vs GROUP BY; check if CTE is inlined or materialized","CTEs inlined by default. Use temp tables to force materialization. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_WITH_clause.html","CTEs inlined in Spark SQL; use cache() or temp views to force materialization. Ref: https://spark.apache.org/docs/latest/sql-ref-syntax-qry-select-cte.html","Presto/Trino inlines CTEs by default. Ref: https://docs.aws.amazon.com/athena/latest/ug/select.html","Spark SQL behavior; CTEs inlined — same as PySpark"
4. Query & Compute Execution,Execution Plan Analysis,"Every production query has a reviewed EXPLAIN plan. Estimated rows within 2x of actual. Plan review is part of pipeline code review checklist.","Compare estimated vs actual row counts; identify high-cost operators; verify no full scans on large tables; confirm expected join type","EXPLAIN query_text; STL_EXPLAIN for stored plans. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_EXPLAIN.html","df.explain(mode='extended') or df.explain(True); Spark UI SQL tab for visual DAG. Ref: https://spark.apache.org/docs/latest/api/python/reference/pyspark.sql/api/pyspark.sql.DataFrame.explain.html","EXPLAIN and EXPLAIN ANALYZE available. Ref: https://docs.aws.amazon.com/athena/latest/ug/athena-explain-statement.html","df.explain() in Glue script; output to CloudWatch. Spark UI via Glue job monitoring. Ref: https://docs.aws.amazon.com/glue/latest/dg/monitor-debug-ui.html"
5. Precomputation & Reuse,Materialized Views,"Expensive aggregations materialized and auto-refreshed incrementally. Downstream queries redirect to view transparently.","Track view refresh duration; compare latency with/without view; monitor staleness; track automated vs manual refresh rate","Materialized views with AUTO REFRESH. SVV_MV_INFO for status. Ref: https://docs.aws.amazon.com/redshift/latest/dg/materialized-view-overview.html","No native MVs; write pre-computed DataFrames to Delta tables; schedule via Cradle pipeline dependencies","No native MVs; CTAS as equivalent; refresh via scheduled Glue jobs. Ref: https://docs.aws.amazon.com/athena/latest/ug/ctas.html","ETL jobs write pre-computed results to S3; schedule via Glue Workflows. Ref: https://docs.aws.amazon.com/glue/latest/dg/workflows_overview.html"
5. Precomputation & Reuse,Engine-Level Caching,"High-frequency dashboard queries achieve near-100% result cache hit rate. Cache invalidates correctly after data updates.","Compare first run (miss) vs subsequent run (hit) latency; monitor cache hit ratio; verify cache invalidates after data changes","Result cache enabled by default. SET enable_result_cache_for_session = ON. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_enable_result_cache_for_session.html","df.cache() / df.persist(StorageLevel.MEMORY_AND_DISK). View in Spark UI Storage tab. Ref: https://spark.apache.org/docs/latest/rdd-programming-guide.html#rdd-persistence","No result cache; every query freshly computed. Consider Redshift Serverless as caching layer for dashboards.","Spark caching available; Glue job bookmarks for incremental reuse. Ref: https://docs.aws.amazon.com/glue/latest/dg/monitor-continuations.html"
5. Precomputation & Reuse,Pre-aggregated Tables,"No query scans raw fact table for a metric that could be pre-aggregated. Downstream queries use smallest table meeting their granularity.","Compare bytes scanned: raw vs pre-aggregated; measure ETL refresh time per tier; audit downstream queries for missed pre-aggregation","Pre-aggregated tables as regular Redshift tables; refresh via scheduled queries. Ref: https://docs.aws.amazon.com/redshift/latest/mgmt/query-editor-schedule-query.html","Write aggregated DataFrames to Parquet/Delta; orchestrate dependency chain via Cradle pipeline","CTAS to create aggregated tables; query aggregate for dashboards. Ref: https://docs.aws.amazon.com/athena/latest/ug/ctas.html","Glue ETL jobs write rollup tables; Glue Workflows for dependency chain. Ref: https://docs.aws.amazon.com/glue/latest/dg/workflows_overview.html"
6. Operations & Lifecycle,Table Maintenance (Vacuum / Compaction / Stats),"Maintenance runs automatically on schedule. Dead row ratio < 10%. File count stable. Statistics < 24 hours old.","Check dead row ratio; count files per partition; compare statistics age vs last data modification","VACUUM reclaims space + re-sorts; ANALYZE updates stats. SVV_TABLE_INFO for bloat. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_VACUUM_command.html","Delta: OPTIMIZE for compaction; VACUUM RETAIN N HOURS for cleanup. Ref: https://docs.delta.io/latest/delta-utility.html","Iceberg: OPTIMIZE REWRITE DATA for compaction; VACUUM for expired snapshots. Ref: https://docs.aws.amazon.com/athena/latest/ug/querying-iceberg-data-optimization.html","Iceberg/Delta compaction via Glue ETL jobs; schedule via Glue Triggers"
6. Operations & Lifecycle,Data Retention & Archival,"Retention policies defined, automated, and enforced per table. Snapshot count bounded.","Monitor partition storage growth; track snapshot count for open table format tables; verify S3 Lifecycle policies applied","UNLOAD to S3 + DROP TABLE for old data. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_UNLOAD.html","Delta: VACUUM RETAIN N HOURS; delta.logRetentionDuration table property. Ref: https://docs.delta.io/latest/delta-utility.html#remove-files-no-longer-referenced-by-a-delta-table","Iceberg table properties for snapshot expiry; S3 Lifecycle rules for data files. Ref: https://iceberg.apache.org/docs/latest/configuration/","S3 Lifecycle policies for data files; Glue ETL to expire Iceberg snapshots on schedule. Ref: https://docs.aws.amazon.com/AmazonS3/latest/userguide/object-lifecycle-mgmt.html"
6. Operations & Lifecycle,Database-Level Operations,"Automated backups on schedule. Restoration tested. Any bulk operation preceded by a snapshot.","Verify backup schedule and retention; test restore periodically; validate row counts after bulk loads","Automated snapshots every 8 hours; manual snapshots before migrations. Ref: https://docs.aws.amazon.com/redshift/latest/mgmt/working-with-snapshots.html","Delta time travel for audit (not backup). Copy Parquet files to separate S3 path before major operations. DESCRIBE HISTORY for audit trail.","S3 versioning as backup; Iceberg time travel for point-in-time queries. Ref: https://docs.aws.amazon.com/AmazonS3/latest/userguide/Versioning.html","Glue Catalog export for metadata backup; S3 replication for data backup. Ref: https://docs.aws.amazon.com/glue/latest/dg/backup-restore-glue-catalog.html"
6. Operations & Lifecycle,Cluster & Infrastructure Operations,"Cluster utilization 50-70%. Upgrade windows pre-scheduled. Scaling automated on utilization thresholds.","Monitor CPU/memory trends; track query queue depth; review upgrade changelog for breaking changes; compare pre/post-upgrade performance","Classic or elastic cluster resize; scheduled maintenance windows. RA3 nodes auto-scale storage. Ref: https://docs.aws.amazon.com/redshift/latest/mgmt/working-with-clusters.html","Cradle manages cluster lifecycle; configure cluster size and instance type in job definition","Serverless — no cluster. Manage via service quotas and per-workgroup concurrency limits. Ref: https://docs.aws.amazon.com/athena/latest/ug/service-limits.html","Serverless; scale by adjusting DPU per job. Ref: https://docs.aws.amazon.com/glue/latest/dg/add-job.html"
7. Observability,Resource & Query Metrics,"Metrics captured for every query. Dashboarded by team/user. Regressions detected before users report them.","Query engine system tables and history logs; cloud monitoring dashboards; Spark UI for job-level breakdown","SVL_QUERY_METRICS; STL_QUERY; STV_EXEC_STATE; CloudWatch for cluster-level. Ref: https://docs.aws.amazon.com/redshift/latest/dg/c_intro_system_tables.html","Spark UI (port 4040): Stages/Tasks/Executors tabs. Spark History Server for completed jobs. Ref: https://spark.apache.org/docs/latest/web-ui.html","CloudWatch: BytesScanned / QueryExecutionTime / QueryQueueTime. Ref: https://docs.aws.amazon.com/athena/latest/ug/query-metrics-viewing.html","CloudWatch Glue job metrics: bytes read/written/shuffle. Ref: https://docs.aws.amazon.com/glue/latest/dg/monitoring-awsglue-with-cloudwatch-metrics.html"
7. Observability,Adoption & Throughput Metrics,"Query volume trends visible. SLA compliance tracked per team/workgroup. Capacity decisions driven by trend data not incidents.","Query audit logs; WLM queue statistics; track query success/failure rates; plot query volume over time","STL_QUERY for history; STV_WLM_QUERY_STATE for live queue; STL_WLM_QUERY for per-query WLM metrics. Ref: https://docs.aws.amazon.com/redshift/latest/dg/cm-c-wlm-query-monitoring-rules.html","Spark History Server for job-level throughput; Cradle console for pipeline-level metrics and SLA tracking","Athena Workgroups with per-workgroup query count and bytes scanned. Ref: https://docs.aws.amazon.com/athena/latest/ug/manage-queries-control-costs-with-workgroups.html","AWS Cost Explorer for DPU trends; Glue job run history; CloudWatch for job counts and durations. Ref: https://docs.aws.amazon.com/glue/latest/dg/monitor-glue.html"
7. Observability,Execution Plan Inspection,"Every production query has reviewed EXPLAIN plan. Estimated rows within 2x of actual. Plan review part of pipeline code review checklist.","Run EXPLAIN before deploying non-trivial queries; compare estimated vs actual row counts; verify expected join type; confirm partition pruning active","EXPLAIN query_text — full physical plan. STL_EXPLAIN for stored plans. Ref: https://docs.aws.amazon.com/redshift/latest/dg/r_EXPLAIN.html","df.explain(mode='cost') for cost-based plan. Spark UI SQL tab shows physical plan with per-operator metrics. Ref: https://spark.apache.org/docs/latest/api/python/reference/pyspark.sql/api/pyspark.sql.DataFrame.explain.html","EXPLAIN and EXPLAIN ANALYZE. Ref: https://docs.aws.amazon.com/athena/latest/ug/athena-explain-statement.html","df.explain() in Glue script; output to CloudWatch logs. Ref: https://docs.aws.amazon.com/glue/latest/dg/monitor-debug-ui.html"
7. Observability,Alerts & Automation,"No human monitors dashboards for routine issues. All known failure modes have automated detection. Alerts fire on leading indicators not lagging ones.","Verify alerts fire correctly in staging; review alert fatigue (high false positive rate = alerts ignored); confirm each alert has a runbook","Query Monitoring Rules (QMR) auto-cancel runaway queries. CloudWatch alarms for cluster metrics. Ref: https://docs.aws.amazon.com/redshift/latest/dg/cm-c-wlm-query-monitoring-rules.html","Cradle pipeline alerts on failure; CloudWatch alarms on Spark metrics; custom SparkListener for in-job monitoring","CloudWatch alarms on QueryExecutionTime and BytesScanned; Workgroup controls auto-cancel queries. Ref: https://docs.aws.amazon.com/athena/latest/ug/workgroups-setting-control-limits-cloudwatch.html","Glue job triggers on failure/completion; CloudWatch alarms; SNS notifications. Ref: https://docs.aws.amazon.com/glue/latest/dg/glue-notifications.html"
